"inegi","afro","indigena","resto"
"16076",0.6,0.41,98.99
"16077",0.85,0.4,98.74
"16078",0.11,0.03,99.85
"16079",1.02,0.65,98.32
"16080",0.92,0.45,98.64
"16081",0.2,5.78,94.03
"16082",0.67,0.72,98.61
"16083",0.08,0.63,99.3
"16084",0.61,42.31,57.08
"16085",2.35,7.5,90.15
"16086",0.13,1.36,98.51
"16087",0.58,0.6,98.82
"16088",0.34,1.19,98.47
"16089",0.35,0.48,99.17
"16090",0.25,16.38,83.37
"16091",0.37,6.91,92.72
"16092",0.1,0.19,99.7
"16093",11.44,0.67,87.89
"16094",0.11,0.29,99.59
"16095",0.08,0.56,99.35
"16096",0.24,0.22,99.53
